,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
24000,2588.5,13.82,25.686,8.547,8.5,0.539,0.45,0.45,0.236,2.209,0.044,83.764,4.977,0
24001,2588.6,13.82,24.855,8.547,8.5,0.552,0.455,0.455,0.226,2.224,0.046,82.533,4.953,0
24002,2588.7,13.791,25.02,8.547,8.5,0.558,0.454,0.454,0.218,2.236,0.047,81.413,4.939,0
24003,2588.8,13.763,25.629,8.547,8.5,0.564,0.457,0.457,0.213,2.245,0.049,80.262,4.948,0
24004,2588.9,13.733,26.665,8.547,8.5,0.571,0.462,0.462,0.211,2.253,0.052,79.44,4.973,0
24005,2589.0,13.463,26.043,8.516,8.5,0.575,0.472,0.472,0.213,2.259,0.055,79.686,4.989,0
24006,2589.1,13.192,26.184,8.5,8.5,0.589,0.497,0.497,0.213,2.263,0.056,80.948,4.982,0
24007,2589.2,12.922,26.654,8.547,8.5,0.606,0.55,0.55,0.21,2.264,0.055,82.573,4.967,0
24008,2589.3,12.742,26.756,8.547,8.5,0.635,0.584,0.584,0.21,2.263,0.054,83.305,4.968,0
24009,2589.4,12.562,26.857,8.547,8.5,0.652,0.607,0.607,0.209,2.262,0.052,84.037,4.969,0
24010,2589.5,12.203,26.987,8.523,8.5,0.66,0.617,0.617,0.21,2.261,0.051,85.18,4.992,0
24011,2589.6,11.844,27.086,8.5,8.5,0.672,0.604,0.604,0.208,2.26,0.051,86.107,5.011,0
24012,2589.7,11.598,26.362,8.5,8.5,0.689,0.651,0.651,0.206,2.261,0.052,86.693,5.0,0
24013,2589.8,11.353,26.146,8.5,8.5,0.716,0.693,0.693,0.207,2.261,0.052,87.478,4.963,0
24014,2589.9,11.108,26.847,8.547,8.5,0.754,0.789,0.789,0.206,2.26,0.052,88.356,4.918,0
24015,2590.0,10.988,27.646,8.547,8.5,0.795,0.852,0.852,0.208,2.259,0.052,88.975,4.893,0
24016,2590.1,10.868,27.428,8.547,8.5,0.844,0.959,0.959,0.214,2.259,0.051,89.41,4.918,0
24017,2590.2,10.748,29.921,8.5,8.5,0.915,1.056,1.056,0.226,2.264,0.048,89.685,5.043,0
24018,2590.3,10.622,35.445,8.516,8.5,0.943,1.185,1.185,0.239,2.275,0.043,89.523,5.293,0
24019,2590.4,10.497,41.969,8.531,8.5,1.011,1.318,1.318,0.248,2.297,0.037,88.939,5.641,0
24020,2590.5,10.371,46.436,8.535,8.5,1.07,1.406,1.406,0.254,2.329,0.031,87.974,6.023,0
24021,2590.6,10.278,49.185,8.562,8.5,1.124,1.537,1.537,0.254,2.368,0.031,87.208,6.38,0
24022,2590.7,10.185,48.965,8.547,8.5,1.189,1.736,1.736,0.253,2.408,0.035,86.061,6.712,0
24023,2590.8,10.092,52.202,8.547,8.5,1.217,1.797,1.797,0.252,2.441,0.043,84.494,7.011,0
24024,2590.9,10.088,56.954,8.547,8.5,1.236,1.845,1.845,0.254,2.462,0.052,83.733,7.174,0
24025,2591.0,10.085,57.067,8.547,8.5,1.209,1.664,1.664,0.255,2.472,0.061,83.249,7.137,0
24026,2591.1,10.081,54.373,8.547,8.5,1.171,1.455,1.455,0.253,2.471,0.07,83.084,6.92,0
24027,2591.2,10.077,48.03,8.5,8.5,1.12,1.257,1.257,0.25,2.455,0.077,83.544,6.541,0
24028,2591.3,10.073,42.92,8.5,8.5,1.059,1.154,1.154,0.244,2.419,0.08,84.149,6.032,0
24029,2591.4,10.07,40.414,8.5,8.5,0.997,1.103,1.103,0.242,2.365,0.077,84.882,5.538,0
24030,2591.5,10.075,39.801,8.5,8.5,0.926,0.947,0.947,0.244,2.316,0.07,85.576,5.259,0
24031,2591.6,10.081,38.956,8.547,8.5,0.821,0.753,0.753,0.244,2.286,0.064,86.27,5.169,0
24032,2591.7,10.084,38.122,8.547,8.5,0.75,0.686,0.686,0.246,2.277,0.062,86.627,5.147,0
24033,2591.8,10.086,37.29,8.547,8.5,0.698,0.644,0.644,0.247,2.267,0.06,86.983,5.124,0
24034,2591.9,10.082,36.951,8.531,8.5,0.675,0.627,0.627,0.252,2.252,0.057,87.977,5.094,0
24035,2592.0,10.079,35.339,8.547,8.5,0.659,0.573,0.573,0.251,2.239,0.056,89.088,5.087,0
24036,2592.1,10.075,34.695,8.547,8.5,0.628,0.562,0.562,0.252,2.228,0.055,90.327,5.103,0
24037,2592.2,10.081,34.101,8.547,8.5,0.588,0.552,0.552,0.254,2.219,0.055,91.608,5.129,0
24038,2592.3,10.086,33.614,8.547,8.5,0.57,0.521,0.521,0.256,2.211,0.054,93.05,5.148,0
24039,2592.4,10.092,33.458,8.547,8.5,0.552,0.476,0.476,0.258,2.202,0.053,94.969,5.15,0
24040,2592.5,10.088,33.625,8.531,8.5,0.542,0.437,0.437,0.265,2.193,0.05,97.434,5.143,0
24041,2592.6,10.084,34.971,8.516,8.5,0.53,0.441,0.441,0.274,2.184,0.047,100.118,5.17,0
24042,2592.7,10.081,36.186,8.5,8.5,0.518,0.422,0.422,0.291,2.177,0.043,102.795,5.257,0
24043,2592.8,10.086,37.457,8.5,8.5,0.512,0.419,0.419,0.318,2.174,0.039,104.933,5.424,0
24044,2592.9,10.092,40.557,8.5,8.5,0.533,0.428,0.428,0.354,2.178,0.034,106.685,5.737,0
24045,2593.0,10.097,46.431,8.547,8.5,0.559,0.495,0.495,0.387,2.193,0.028,107.75,6.232,0
24046,2593.1,10.094,54.663,8.547,8.5,0.602,0.566,0.566,0.411,2.215,0.026,108.503,6.867,0
24047,2593.2,10.09,64.582,8.547,8.5,0.633,0.605,0.605,0.413,2.235,0.029,108.977,7.528,0
24048,2593.3,10.086,70.507,8.584,8.5,0.68,0.677,0.677,0.389,2.241,0.034,108.622,8.038,0
24049,2593.4,10.082,66.063,8.687,8.5,0.682,0.639,0.639,0.348,2.227,0.038,108.449,8.169,0
24050,2593.5,10.079,60.506,8.586,8.5,0.664,0.579,0.579,0.321,2.201,0.036,108.401,7.763,0
24051,2593.6,10.075,53.814,8.531,8.5,0.666,0.516,0.516,0.307,2.186,0.032,108.09,6.994,0
24052,2593.7,10.081,49.455,8.5,8.5,0.642,0.529,0.529,0.31,2.192,0.033,108.601,6.277,0
24053,2593.8,10.086,49.271,8.516,8.5,0.654,0.524,0.524,0.327,2.21,0.037,109.874,5.834,0
24054,2593.9,10.092,53.365,8.547,8.5,0.698,0.602,0.602,0.348,2.231,0.04,111.153,5.723,0
24055,2594.0,10.09,57.1,8.547,8.5,0.73,0.67,0.67,0.361,2.241,0.04,111.928,5.812,0
24056,2594.1,10.088,60.842,8.547,8.5,0.746,0.693,0.693,0.374,2.251,0.041,112.703,5.902,0
24057,2594.2,10.084,68.804,8.562,8.5,0.763,0.742,0.742,0.398,2.274,0.042,114.548,6.281,0
24058,2594.3,10.08,76.88,8.547,8.5,0.798,0.759,0.759,0.426,2.299,0.046,115.486,6.722,0
24059,2594.4,10.086,83.885,8.625,8.5,0.79,0.75,0.75,0.445,2.322,0.051,116.454,7.079,0
24060,2594.5,10.092,84.167,8.625,8.5,0.789,0.759,0.759,0.453,2.335,0.055,117.528,7.263,0
24061,2594.6,10.097,85.249,8.568,8.5,0.813,0.783,0.783,0.439,2.338,0.057,119.132,7.294,0
24062,2594.7,10.093,83.27,8.578,8.5,0.834,0.839,0.839,0.403,2.336,0.057,120.351,7.217,0
24063,2594.8,10.09,79.72,8.578,8.5,0.848,0.885,0.885,0.362,2.334,0.058,120.839,7.046,0
24064,2594.9,10.086,76.286,8.568,8.5,0.911,0.909,0.909,0.328,2.333,0.058,120.749,6.755,0
24065,2595.0,10.082,71.113,8.562,8.5,0.921,0.998,0.998,0.309,2.332,0.058,120.1,6.386,0
24066,2595.1,10.078,64.389,8.547,8.5,0.956,1.076,1.076,0.303,2.332,0.057,118.514,6.077,0
24067,2595.2,10.074,59.999,8.547,8.5,1.014,1.269,1.269,0.313,2.332,0.058,117.224,5.987,0
24068,2595.3,10.08,57.16,8.609,8.5,1.115,1.545,1.545,0.327,2.333,0.059,115.914,6.173,0
24069,2595.4,10.086,58.534,8.609,8.5,1.181,1.642,1.642,0.357,2.333,0.058,114.37,6.535,0
24070,2595.5,10.091,63.215,8.648,8.5,1.109,1.355,1.355,0.383,2.334,0.052,112.885,6.918,0
24071,2595.6,10.088,70.414,8.651,8.5,0.985,1.079,1.079,0.409,2.342,0.045,111.756,7.23,0
24072,2595.7,10.084,79.079,8.563,8.5,0.888,0.872,0.872,0.436,2.359,0.042,111.734,7.48,0
24073,2595.8,10.08,82.068,8.578,8.5,0.856,0.787,0.787,0.454,2.38,0.043,112.724,7.721,0
24074,2595.9,10.086,81.838,8.557,8.5,0.863,0.814,0.814,0.472,2.401,0.048,113.949,7.963,0
24075,2596.0,10.091,80.914,8.563,8.5,0.883,0.838,0.838,0.481,2.415,0.054,114.381,8.168,0
24076,2596.1,10.097,80.006,8.568,8.5,0.884,0.878,0.878,0.479,2.424,0.058,114.284,8.29,0
24077,2596.2,10.093,79.814,8.602,8.5,0.883,0.885,0.885,0.471,2.426,0.058,113.824,8.32,0
24078,2596.3,10.091,79.864,8.613,8.5,0.879,0.886,0.886,0.467,2.426,0.058,113.307,8.299,0
24079,2596.4,10.089,79.916,8.625,8.5,0.876,0.887,0.887,0.464,2.426,0.058,112.789,8.277,0
24080,2596.5,10.086,80.459,8.594,8.5,0.868,0.897,0.897,0.461,2.423,0.059,112.495,8.18,0
24081,2596.6,10.091,80.338,8.602,8.5,0.879,0.869,0.869,0.454,2.418,0.063,112.728,8.031,0
24082,2596.7,10.097,79.996,8.641,8.5,0.863,0.845,0.845,0.449,2.407,0.066,113.574,7.835,0
24083,2596.8,10.102,80.917,8.625,8.5,0.819,0.801,0.801,0.446,2.392,0.066,114.475,7.616,0
24084,2596.9,10.099,83.253,8.609,8.5,0.781,0.738,0.738,0.448,2.375,0.063,115.415,7.424,0
24085,2597.0,10.095,82.836,8.578,8.5,0.778,0.728,0.728,0.459,2.362,0.058,116.231,7.289,0
24086,2597.1,10.091,85.743,8.578,8.5,0.79,0.742,0.742,0.474,2.355,0.055,116.775,7.222,0
24087,2597.2,10.087,86.98,8.625,8.5,0.807,0.762,0.762,0.484,2.354,0.054,117.067,7.229,0
24088,2597.3,10.083,88.423,8.602,8.5,0.798,0.744,0.744,0.495,2.355,0.055,117.363,7.28,0
24089,2597.4,10.08,89.987,8.625,8.5,0.792,0.737,0.737,0.495,2.356,0.058,117.269,7.332,0
24090,2597.5,10.085,90.539,8.672,8.5,0.8,0.74,0.74,0.484,2.356,0.06,116.73,7.343,0
24091,2597.6,10.091,87.52,8.648,8.5,0.813,0.741,0.741,0.471,2.353,0.059,114.7,7.305,0
24092,2597.7,10.097,87.186,8.609,8.5,0.824,0.74,0.74,0.451,2.349,0.057,112.021,7.253,0
24093,2597.8,10.093,88.533,8.625,8.5,0.836,0.74,0.74,0.431,2.347,0.055,108.568,7.208,0
24094,2597.9,10.089,87.957,8.625,8.5,0.863,0.77,0.77,0.411,2.35,0.053,105.412,7.168,0
24095,2598.0,10.085,88.184,8.578,8.5,0.897,0.811,0.811,0.393,2.357,0.053,102.78,7.115,0
24096,2598.1,10.091,85.468,8.578,8.5,0.96,0.946,0.946,0.375,2.367,0.055,100.972,7.044,0
24097,2598.2,10.097,83.154,8.609,8.5,1.056,1.133,1.133,0.36,2.379,0.058,99.408,6.989,0
24098,2598.3,10.102,80.262,8.602,8.5,1.088,1.17,1.17,0.367,2.389,0.06,98.35,6.982,0
24099,2598.4,10.098,77.333,8.573,8.5,1.085,1.185,1.185,0.374,2.396,0.06,98.251,7.042,0
24100,2598.5,10.095,75.848,8.578,8.5,1.115,1.216,1.216,0.386,2.401,0.06,98.343,7.153,0
24101,2598.6,10.091,81.168,8.578,8.5,1.152,1.298,1.298,0.389,2.405,0.061,98.612,7.278,0
24102,2598.7,10.067,84.73,8.625,8.5,1.186,1.267,1.267,0.382,2.406,0.063,99.22,7.363,0
24103,2598.8,10.042,86.275,8.672,8.5,1.168,1.289,1.289,0.372,2.397,0.065,99.68,7.265,0
24104,2598.9,10.018,87.813,8.682,8.5,1.17,1.267,1.267,0.363,2.389,0.066,100.124,7.166,0
24105,2599.0,10.013,85.819,8.602,8.5,1.167,1.211,1.211,0.363,2.376,0.065,100.684,6.913,0
24106,2599.1,10.009,84.024,8.568,8.5,1.152,1.172,1.172,0.364,2.369,0.064,101.141,6.732,0
24107,2599.2,10.004,81.153,8.547,8.5,1.149,1.162,1.162,0.372,2.369,0.064,101.548,6.742,0
24108,2599.3,10.013,78.515,8.563,8.5,1.147,1.208,1.208,0.381,2.372,0.064,101.917,6.919,0
24109,2599.4,10.022,77.612,8.568,8.5,1.205,1.276,1.276,0.39,2.374,0.063,102.162,7.13,0
24110,2599.5,10.03,78.257,8.742,8.5,1.234,1.424,1.424,0.391,2.375,0.061,102.39,7.275,0
24111,2599.6,10.029,80.689,8.625,8.5,1.213,1.377,1.377,0.397,2.377,0.062,102.938,7.367,0
24112,2599.7,10.028,83.214,8.625,8.5,1.195,1.308,1.308,0.403,2.378,0.064,103.426,7.45,0
24113,2599.8,10.028,85.282,8.602,8.5,1.204,1.342,1.342,0.403,2.377,0.066,103.904,7.502,0
24114,2599.9,10.027,85.269,8.641,8.5,1.209,1.344,1.344,0.393,2.369,0.065,104.69,7.418,0
24115,2600.0,10.026,82.748,8.648,8.5,1.197,1.323,1.323,0.371,2.356,0.064,104.605,7.126,0
24116,2600.1,10.025,79.399,8.578,8.5,1.173,1.196,1.196,0.341,2.338,0.064,103.827,6.654,0
24117,2600.2,10.032,74.248,8.578,8.5,1.139,1.171,1.171,0.308,2.315,0.064,102.74,6.105,0
24118,2600.3,10.038,68.542,8.547,8.5,1.118,1.142,1.142,0.283,2.291,0.062,100.943,5.613,0
24119,2600.4,10.046,60.314,8.523,8.5,1.12,1.107,1.107,0.272,2.269,0.058,98.473,5.281,0
24120,2600.5,10.281,51.895,8.523,8.5,1.161,1.214,1.214,0.266,2.253,0.053,97.171,5.151,0
24121,2600.6,10.517,45.764,8.531,8.5,1.16,1.317,1.317,0.273,2.244,0.049,95.441,5.205,0
24122,2600.7,10.753,40.914,8.523,8.5,1.146,1.299,1.299,0.282,2.243,0.047,93.204,5.38,0
24123,2600.8,11.178,40.059,8.557,8.5,1.102,1.186,1.186,0.29,2.249,0.047,92.143,5.602,0
24124,2600.9,11.604,41.143,8.563,8.5,1.052,1.077,1.077,0.303,2.258,0.048,92.043,5.829,0
24125,2601.0,12.029,42.513,8.578,8.5,1.01,0.99,0.99,0.322,2.268,0.049,93.184,6.066,0
24126,2601.1,12.351,45.945,8.578,8.5,0.959,0.935,0.935,0.344,2.279,0.049,95.901,6.345,0
24127,2601.2,12.673,50.095,8.625,8.5,0.952,0.844,0.844,0.36,2.29,0.048,98.137,6.66,0
24128,2601.3,12.995,55.343,8.656,8.5,0.936,0.921,0.921,0.381,2.304,0.048,99.229,6.934,0
24129,2601.4,13.262,60.451,8.672,8.5,0.955,1.015,1.015,0.399,2.316,0.049,100.373,7.081,0
24130,2601.5,13.53,65.587,8.578,8.5,0.947,1.077,1.077,0.419,2.325,0.051,101.197,7.066,0
24131,2601.6,13.797,71.338,8.578,8.5,0.961,1.08,1.08,0.427,2.328,0.052,101.324,6.915,0
24132,2601.7,14.081,71.621,8.578,8.5,0.956,1.092,1.092,0.424,2.328,0.052,101.454,6.704,0
24133,2601.8,14.364,72.673,8.557,8.5,0.978,1.062,1.062,0.41,2.326,0.052,101.539,6.503,0
24134,2601.9,14.647,71.562,8.547,8.5,0.976,1.077,1.077,0.388,2.321,0.052,101.504,6.365,0
24135,2602.0,14.791,65.709,8.562,8.5,0.984,1.104,1.104,0.363,2.314,0.051,101.369,6.295,0
24136,2602.1,14.934,58.633,8.557,8.5,0.992,1.096,1.096,0.348,2.306,0.051,101.12,6.256,0
24137,2602.2,15.077,54.392,8.547,8.5,0.99,1.105,1.105,0.338,2.299,0.054,100.597,6.181,0
24138,2602.3,15.073,54.614,8.547,8.5,0.982,1.1,1.1,0.33,2.292,0.061,100.069,6.028,0
24139,2602.4,15.069,52.713,8.547,8.5,0.979,1.089,1.089,0.317,2.28,0.067,99.584,5.804,0
24140,2602.5,15.065,49.94,8.547,8.5,0.969,1.07,1.07,0.3,2.262,0.071,99.313,5.562,0
24141,2602.6,15.074,44.819,8.547,8.5,0.977,1.118,1.118,0.286,2.24,0.068,99.886,5.355,0
24142,2602.7,15.084,40.6,8.547,8.5,0.962,1.087,1.087,0.282,2.219,0.063,100.986,5.219,0
24143,2602.8,15.093,37.156,8.547,8.5,0.911,0.962,0.962,0.292,2.203,0.056,102.613,5.195,0
24144,2602.9,15.089,34.995,8.547,8.5,0.849,0.83,0.83,0.319,2.19,0.051,104.509,5.31,0
24145,2603.0,15.085,33.09,8.547,8.5,0.801,0.716,0.716,0.353,2.177,0.046,106.588,5.547,0
24146,2603.1,15.08,33.391,8.547,8.5,0.792,0.704,0.704,0.381,2.165,0.042,108.729,5.832,0
24147,2603.2,15.072,34.605,8.578,8.5,0.778,0.709,0.709,0.389,2.159,0.037,109.842,6.067,0
24148,2603.3,15.064,37.914,8.578,8.5,0.772,0.721,0.721,0.375,2.161,0.032,110.045,6.195,0
24149,2603.4,15.056,40.99,8.578,8.5,0.759,0.724,0.724,0.345,2.175,0.029,107.595,6.219,0
24150,2603.5,15.062,43.599,8.547,8.5,0.748,0.675,0.675,0.313,2.199,0.029,104.575,6.149,0
24151,2603.6,15.069,45.476,8.547,8.5,0.72,0.676,0.676,0.282,2.233,0.033,101.006,5.984,0
24152,2603.7,15.076,46.263,8.547,8.5,0.726,0.684,0.684,0.261,2.267,0.043,95.494,5.745,0
24153,2603.8,15.068,46.561,8.547,8.5,0.73,0.71,0.71,0.252,2.29,0.056,91.164,5.509,0
24154,2603.9,15.06,43.912,8.547,8.5,0.761,0.815,0.815,0.252,2.296,0.067,88.252,5.328,0
24155,2604.0,15.051,41.161,8.547,8.5,0.776,0.867,0.867,0.255,2.287,0.073,84.879,5.205,0
24156,2604.1,15.046,38.512,8.547,8.5,0.768,0.856,0.856,0.258,2.267,0.073,82.841,5.106,0
24157,2604.2,15.041,35.021,8.547,8.5,0.724,0.792,0.792,0.26,2.245,0.069,82.742,5.028,0
24158,2604.3,15.036,31.604,8.547,8.5,0.687,0.727,0.727,0.26,2.226,0.064,82.951,4.979,0
24159,2604.4,15.046,30.029,8.547,8.5,0.646,0.628,0.628,0.261,2.213,0.062,83.446,4.977,0
24160,2604.5,15.055,29.24,8.547,8.5,0.623,0.566,0.566,0.262,2.204,0.06,84.372,5.003,0
24161,2604.6,15.064,28.342,8.547,8.5,0.614,0.579,0.579,0.266,2.195,0.058,85.583,5.021,0
24162,2604.7,15.06,27.322,8.547,8.5,0.607,0.59,0.59,0.268,2.187,0.056,86.863,5.012,0
24163,2604.8,15.056,26.961,8.547,8.5,0.588,0.578,0.578,0.269,2.179,0.055,88.175,4.996,0
24164,2604.9,15.052,25.813,8.547,8.5,0.548,0.486,0.486,0.268,2.175,0.054,89.334,4.998,0
24165,2605.0,15.062,25.664,8.547,8.5,0.518,0.43,0.43,0.269,2.174,0.053,90.155,5.016,0
24166,2605.1,15.072,25.722,8.547,8.5,0.489,0.387,0.387,0.272,2.173,0.053,90.168,5.026,0
24167,2605.2,15.081,25.608,8.578,8.5,0.463,0.374,0.374,0.274,2.171,0.052,89.92,5.017,0
24168,2605.3,15.077,25.434,8.578,8.5,0.44,0.354,0.354,0.277,2.171,0.051,89.54,4.997,0
24169,2605.4,15.073,25.519,8.547,8.5,0.43,0.351,0.351,0.282,2.173,0.053,89.012,4.985,0
24170,2605.5,15.069,26.275,8.547,8.5,0.417,0.351,0.351,0.284,2.178,0.055,88.544,4.993,0
24171,2605.6,15.064,24.981,8.547,8.5,0.419,0.348,0.348,0.283,2.182,0.056,88.129,5.006,0
24172,2605.7,15.06,24.824,8.547,8.5,0.421,0.351,0.351,0.28,2.184,0.056,87.831,5.002,0
24173,2605.8,15.056,25.483,8.547,8.5,0.416,0.356,0.356,0.273,2.184,0.055,87.956,4.969,0
24174,2605.9,15.067,24.725,8.547,8.5,0.415,0.356,0.356,0.265,2.181,0.053,88.326,4.921,0
24175,2606.0,15.078,24.805,8.547,8.5,0.412,0.356,0.356,0.26,2.179,0.051,88.809,4.897,0
24176,2606.1,15.088,24.755,8.547,8.5,0.411,0.36,0.36,0.259,2.178,0.051,89.506,4.915,0
24177,2606.2,15.08,25.234,8.547,8.5,0.414,0.365,0.365,0.264,2.179,0.051,90.338,4.958,0
24178,2606.3,15.072,26.622,8.547,8.5,0.418,0.369,0.369,0.271,2.183,0.053,91.098,5.002,0
24179,2606.4,15.064,27.994,8.547,8.5,0.426,0.37,0.37,0.276,2.189,0.054,91.915,5.03,0
24180,2606.5,15.056,27.798,8.547,8.5,0.433,0.38,0.38,0.277,2.193,0.054,92.767,5.037,0
24181,2606.6,15.047,30.169,8.547,8.5,0.436,0.387,0.387,0.276,2.194,0.055,93.314,5.04,0
24182,2606.7,15.039,32.99,8.547,8.5,0.436,0.388,0.388,0.273,2.193,0.054,93.934,5.056,0
24183,2606.8,15.045,34.367,8.547,8.5,0.434,0.389,0.389,0.27,2.191,0.053,94.626,5.086,0
24184,2606.9,15.05,34.147,8.547,8.5,0.431,0.392,0.392,0.267,2.189,0.053,95.278,5.112,0
24185,2607.0,15.055,33.57,8.547,8.5,0.43,0.403,0.403,0.266,2.189,0.052,96.072,5.121,0
24186,2607.1,15.05,33.16,8.547,8.5,0.431,0.405,0.405,0.267,2.189,0.051,97.037,5.123,0
24187,2607.2,15.045,33.631,8.547,8.5,0.436,0.407,0.407,0.269,2.189,0.051,97.917,5.139,0
24188,2607.3,15.04,32.754,8.547,8.5,0.442,0.41,0.41,0.272,2.189,0.051,98.663,5.162,0
24189,2607.4,15.051,32.668,8.547,8.5,0.447,0.423,0.423,0.274,2.189,0.052,99.222,5.168,0
24190,2607.5,15.061,32.109,8.547,8.5,0.462,0.445,0.445,0.276,2.19,0.052,99.198,5.136,0
24191,2607.6,15.072,30.053,8.547,8.5,0.47,0.446,0.446,0.279,2.19,0.051,99.044,5.074,0
24192,2607.7,15.068,28.497,8.547,8.5,0.469,0.448,0.448,0.283,2.19,0.05,98.795,5.027,0
24193,2607.8,15.064,29.497,8.547,8.5,0.464,0.455,0.455,0.289,2.189,0.048,98.659,5.053,0
24194,2607.9,15.06,31.087,8.547,8.5,0.474,0.459,0.459,0.301,2.191,0.046,98.598,5.203,0
24195,2608.0,15.056,35.991,8.578,8.5,0.485,0.454,0.454,0.318,2.197,0.042,98.652,5.508,0
24196,2608.1,15.052,42.866,8.547,8.5,0.49,0.452,0.452,0.344,2.211,0.038,98.905,5.93,0
24197,2608.2,15.048,49.618,8.563,8.5,0.518,0.454,0.454,0.368,2.235,0.035,99.248,6.377,0
24198,2608.3,15.137,54.604,8.578,8.5,0.606,0.606,0.606,0.384,2.265,0.038,99.69,6.689,0
24199,2608.4,15.227,60.595,8.562,8.5,0.688,0.804,0.804,0.386,2.294,0.047,100.28,6.771,0
24200,2608.5,15.316,63.962,8.547,8.5,0.728,0.866,0.866,0.371,2.31,0.059,100.993,6.614,0
24201,2608.6,15.311,61.152,8.562,8.5,0.716,0.807,0.807,0.351,2.306,0.068,101.963,6.322,0
24202,2608.7,15.305,52.352,8.547,8.5,0.663,0.645,0.645,0.342,2.286,0.069,102.891,6.085,0
24203,2608.8,15.299,45.544,8.547,8.5,0.633,0.534,0.534,0.343,2.263,0.06,103.84,6.044,0
24204,2608.9,15.309,44.964,8.547,8.5,0.64,0.545,0.545,0.354,2.251,0.051,104.991,6.178,0
24205,2609.0,15.32,47.718,8.547,8.5,0.677,0.638,0.638,0.363,2.255,0.049,106.188,6.34,0
24206,2609.1,15.33,53.557,8.562,8.5,0.704,0.696,0.696,0.375,2.266,0.053,107.456,6.416,0
24207,2609.2,15.298,58.377,8.547,8.5,0.701,0.676,0.676,0.388,2.269,0.056,109.065,6.438,0
24208,2609.3,15.266,58.583,8.547,8.5,0.705,0.644,0.644,0.41,2.264,0.053,110.702,6.553,0
24209,2609.4,15.234,62.77,8.578,8.5,0.713,0.657,0.657,0.435,2.259,0.047,112.382,6.808,0
24210,2609.5,15.202,71.04,8.602,8.5,0.723,0.674,0.674,0.458,2.264,0.043,114.384,7.118,0
24211,2609.6,15.171,74.674,8.625,8.5,0.737,0.715,0.715,0.477,2.277,0.045,116.01,7.318,0
24212,2609.7,15.139,75.451,8.625,8.5,0.739,0.709,0.709,0.49,2.29,0.047,117.311,7.331,0
24213,2609.8,15.12,77.477,8.578,8.5,0.736,0.7,0.7,0.495,2.296,0.048,118.033,7.225,0
24214,2609.9,15.101,78.429,8.578,8.5,0.743,0.704,0.704,0.495,2.297,0.047,118.232,7.101,0
24215,2610.0,15.083,77.676,8.578,8.5,0.726,0.688,0.688,0.492,2.299,0.047,117.91,7.021,0
24216,2610.1,15.069,75.239,8.578,8.5,0.719,0.688,0.688,0.484,2.303,0.049,117.746,6.998,0
24217,2610.2,15.056,74.651,8.563,8.5,0.716,0.705,0.705,0.471,2.306,0.051,117.187,7.01,0
24218,2610.3,15.043,73.736,8.578,8.5,0.707,0.704,0.704,0.449,2.306,0.053,116.145,7.019,0
24219,2610.4,15.039,71.072,8.578,8.5,0.697,0.692,0.692,0.427,2.302,0.055,115.441,6.985,0
24220,2610.5,15.035,64.63,8.578,8.5,0.68,0.672,0.672,0.407,2.295,0.057,114.66,6.872,0
24221,2610.6,15.031,60.306,8.547,8.5,0.67,0.656,0.656,0.392,2.284,0.06,113.731,6.692,0
24222,2610.7,15.042,56.641,8.547,8.5,0.647,0.62,0.62,0.379,2.269,0.062,113.803,6.492,0
24223,2610.8,15.053,52.42,8.578,8.5,0.628,0.591,0.591,0.372,2.249,0.061,113.889,6.333,0
24224,2610.9,15.063,49.687,8.547,8.5,0.618,0.584,0.584,0.369,2.229,0.057,113.756,6.236,0
24225,2611.0,15.059,45.754,8.578,8.5,0.604,0.562,0.562,0.367,2.212,0.053,113.468,6.201,0
24226,2611.1,15.055,46.434,8.547,8.5,0.592,0.535,0.535,0.367,2.202,0.05,112.913,6.207,0
24227,2611.2,15.051,47.978,8.547,8.5,0.569,0.509,0.509,0.363,2.199,0.05,111.831,6.228,0
24228,2611.3,15.061,48.64,8.578,8.5,0.559,0.488,0.488,0.362,2.199,0.05,110.869,6.244,0
24229,2611.4,15.07,49.873,8.578,8.5,0.563,0.5,0.5,0.368,2.199,0.049,109.965,6.253,0
24230,2611.5,15.08,51.422,8.578,8.5,0.573,0.51,0.51,0.373,2.202,0.048,109.135,6.26,0
24231,2611.6,15.056,54.444,8.578,8.5,0.575,0.527,0.527,0.373,2.21,0.048,108.558,6.247,0
24232,2611.7,15.032,53.76,8.578,8.5,0.581,0.542,0.542,0.368,2.221,0.049,108.152,6.205,0
24233,2611.8,15.009,53.106,8.563,8.5,0.596,0.559,0.559,0.369,2.233,0.05,108.049,6.151,0
24234,2611.9,15.024,53.96,8.578,8.5,0.602,0.572,0.572,0.378,2.24,0.048,108.255,6.151,0
24235,2612.0,15.04,58.392,8.563,8.5,0.611,0.579,0.579,0.402,2.245,0.046,108.614,6.259,0
24236,2612.1,15.055,63.602,8.578,8.5,0.63,0.613,0.613,0.431,2.251,0.045,109.039,6.469,0
24237,2612.2,15.065,65.994,8.578,8.5,0.656,0.646,0.646,0.453,2.259,0.047,109.741,6.712,0
24238,2612.3,15.074,67.711,8.578,8.5,0.673,0.67,0.67,0.46,2.266,0.049,110.624,6.91,0
24239,2612.4,15.084,69.143,8.578,8.5,0.675,0.657,0.657,0.45,2.272,0.051,111.7,7.013,0
