,DEPTH,ROP,GR,CALI,BS,RD,RT,RM,NPHI,RHOB,DRHO,DT,PEF,label
33533,3541.8,19.978,150.0,8.625,8.5,2.56,2.694,2.694,0.45,2.219,0.04,118.122,7.539,0
33534,3541.9,19.981,150.0,8.625,8.5,2.501,2.509,2.509,0.452,2.219,0.039,118.339,7.594,0
33535,3542.0,19.983,150.0,8.625,8.5,2.449,2.392,2.392,0.453,2.22,0.039,118.666,7.556,0
33536,3542.1,19.986,150.0,8.625,8.5,2.474,2.432,2.432,0.451,2.22,0.04,118.936,7.438,0
33537,3542.2,19.981,150.0,8.625,8.5,2.573,2.61,2.61,0.447,2.215,0.041,118.785,7.318,0
33538,3542.3,19.976,150.0,8.625,8.5,2.635,2.79,2.79,0.446,2.206,0.041,118.901,7.252,0
33539,3542.4,19.971,150.0,8.625,8.5,2.691,2.896,2.896,0.445,2.197,0.042,119.129,7.24,0
33540,3542.5,19.966,150.0,8.625,8.5,2.728,2.964,2.964,0.44,2.192,0.043,119.237,7.266,0
33541,3542.6,19.961,150.0,8.625,8.5,2.731,2.962,2.962,0.434,2.189,0.045,119.413,7.319,0
33542,3542.7,19.956,150.0,8.625,8.5,2.722,2.928,2.928,0.434,2.186,0.044,119.61,7.382,0
33543,3542.8,19.952,150.0,8.625,8.5,2.698,2.842,2.842,0.445,2.181,0.042,119.596,7.415,0
33544,3542.9,19.947,150.0,8.625,8.5,2.742,2.963,2.963,0.462,2.175,0.04,119.582,7.393,0
33545,3543.0,19.942,150.0,8.578,8.5,2.868,3.241,3.241,0.476,2.17,0.04,119.544,7.335,0
33546,3543.1,19.939,150.0,8.602,8.5,2.906,3.332,3.332,0.473,2.168,0.041,119.08,7.278,0
33547,3543.2,19.936,150.0,8.602,8.5,2.922,3.375,3.375,0.459,2.169,0.041,118.711,7.225,0
33548,3543.3,19.931,150.0,8.625,8.5,2.912,3.385,3.385,0.445,2.175,0.04,118.43,7.161,0
33549,3543.4,18.92,150.0,8.625,8.5,2.725,2.943,2.943,0.442,2.185,0.038,118.046,7.076,0
33550,3543.5,17.909,150.0,8.625,8.5,2.624,2.689,2.689,0.448,2.195,0.038,117.751,6.997,0
33551,3543.6,16.898,150.0,8.625,8.5,2.623,2.712,2.712,0.453,2.204,0.038,117.555,6.961,0
33552,3543.7,15.838,150.0,8.625,8.5,2.62,2.713,2.713,0.45,2.209,0.04,117.664,6.987,0
33553,3543.8,14.779,150.0,8.625,8.5,2.688,2.879,2.879,0.44,2.21,0.04,117.862,7.06,0
33554,3543.9,13.721,150.0,8.625,8.5,2.756,3.03,3.03,0.432,2.207,0.039,118.159,7.147,0
33555,3544.0,12.851,150.0,8.578,8.5,2.714,2.915,2.915,0.434,2.202,0.039,118.368,7.21,0
33556,3544.1,11.981,150.0,8.602,8.5,2.749,2.991,2.991,0.436,2.197,0.041,118.557,7.234,0
